MS46122B
!1950303/94120156
!11/28/2024.3:10:41.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: ONE.PORT.CAL.PORT 1,2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S11               	S11               	S12               
!PORT:        	PORT1             	PORT1             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	IMPEDANCE.RIM     	SMITH.IMPEDANCE   	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	RESISTANCE2	REACTANCE2	FREQ3.GHZ	RESISTANCE3	REACTANCE3	FREQ4.GHZ	LOGMAG4
1	1.500000000	-2.992026E-001	1.500000000	2.801857E+003	-5.330468E+002	1.500000000	2.801857E+003	-5.330468E+002	1.500000000	-4.601269E+001
2	1.510000000	-2.725753E-001	1.510000000	1.520561E+003	-1.591354E+003	1.510000000	1.520561E+003	-1.591354E+003	1.510000000	-4.499350E+001
3	1.520000000	-2.845147E-001	1.520000000	7.982624E+002	-1.340950E+003	1.520000000	7.982624E+002	-1.340950E+003	1.520000000	-4.612091E+001
4	1.530000000	-3.063260E-001	1.530000000	4.462831E+002	-1.031646E+003	1.530000000	4.462831E+002	-1.031646E+003	1.530000000	-4.690006E+001
5	1.540000000	-2.929449E-001	1.540000000	2.575220E+002	-8.336853E+002	1.540000000	2.575220E+002	-8.336852E+002	1.540000000	-4.655016E+001
6	1.550000000	-2.806449E-001	1.550000000	1.758056E+002	-7.147697E+002	1.550000000	1.758056E+002	-7.147697E+002	1.550000000	-4.595699E+001
7	1.560000000	-3.040438E-001	1.560000000	1.379229E+002	-6.104545E+002	1.560000000	1.379229E+002	-6.104545E+002	1.560000000	-4.621441E+001
8	1.570000000	-3.024335E-001	1.570000000	1.018326E+002	-5.288776E+002	1.570000000	1.018326E+002	-5.288775E+002	1.570000000	-4.605458E+001
9	1.580000000	-2.870712E-001	1.580000000	7.694405E+001	-4.737862E+002	1.580000000	7.694405E+001	-4.737862E+002	1.580000000	-4.575173E+001
10	1.590000000	-3.053970E-001	1.590000000	6.648721E+001	-4.269141E+002	1.590000000	6.648722E+001	-4.269142E+002	1.590000000	-4.622577E+001
11	1.600000000	-3.222649E-001	1.600000000	5.658495E+001	-3.832486E+002	1.600000000	5.658495E+001	-3.832486E+002	1.600000000	-4.511903E+001
12	1.610000000	-3.184335E-001	1.610000000	4.625856E+001	-3.487060E+002	1.610000000	4.625856E+001	-3.487060E+002	1.610000000	-4.455768E+001
13	1.620000000	-3.254859E-001	1.620000000	4.005849E+001	-3.206947E+002	1.620000000	4.005850E+001	-3.206947E+002	1.620000000	-4.517112E+001
14	1.630000000	-3.382760E-001	1.630000000	3.533583E+001	-2.950064E+002	1.630000000	3.533583E+001	-2.950064E+002	1.630000000	-4.588189E+001
15	1.640000000	-3.367665E-001	1.640000000	3.013974E+001	-2.727032E+002	1.640000000	3.013974E+001	-2.727032E+002	1.640000000	-4.570441E+001
16	1.650000000	-3.377929E-001	1.650000000	2.645147E+001	-2.546586E+002	1.650000000	2.645147E+001	-2.546586E+002	1.650000000	-4.622234E+001
17	1.660000000	-3.393756E-001	1.660000000	2.351090E+001	-2.390628E+002	1.660000000	2.351090E+001	-2.390628E+002	1.660000000	-4.576899E+001
18	1.670000000	-3.352871E-001	1.670000000	2.069061E+001	-2.251649E+002	1.670000000	2.069061E+001	-2.251649E+002	1.670000000	-4.568763E+001
19	1.680000000	-3.369928E-001	1.680000000	1.876528E+001	-2.133989E+002	1.680000000	1.876528E+001	-2.133989E+002	1.680000000	-4.580870E+001
20	1.690000000	-3.471130E-001	1.690000000	1.749206E+001	-2.024552E+002	1.690000000	1.749206E+001	-2.024552E+002	1.690000000	-4.586513E+001
21	1.700000000	-3.504482E-001	1.700000000	1.599195E+001	-1.920988E+002	1.700000000	1.599195E+001	-1.920988E+002	1.700000000	-4.556398E+001
22	1.710000000	-3.555757E-001	1.710000000	1.476633E+001	-1.826823E+002	1.710000000	1.476633E+001	-1.826823E+002	1.710000000	-4.542525E+001
23	1.720000000	-3.754469E-001	1.720000000	1.414894E+001	-1.733594E+002	1.720000000	1.414894E+001	-1.733594E+002	1.720000000	-4.493673E+001
24	1.730000000	-3.765834E-001	1.730000000	1.293292E+001	-1.648672E+002	1.730000000	1.293292E+001	-1.648672E+002	1.730000000	-4.553628E+001
25	1.740000000	-3.831270E-001	1.740000000	1.206339E+001	-1.572297E+002	1.740000000	1.206339E+001	-1.572297E+002	1.740000000	-4.585818E+001
26	1.750000000	-3.972830E-001	1.750000000	1.152561E+001	-1.502778E+002	1.750000000	1.152561E+001	-1.502778E+002	1.750000000	-4.522606E+001
27	1.760000000	-3.922840E-001	1.760000000	1.050054E+001	-1.437208E+002	1.760000000	1.050054E+001	-1.437208E+002	1.760000000	-4.548938E+001
28	1.770000000	-3.863857E-001	1.770000000	9.637392E+000	-1.381525E+002	1.770000000	9.637392E+000	-1.381525E+002	1.770000000	-4.547651E+001
29	1.780000000	-3.976939E-001	1.780000000	9.286115E+000	-1.330767E+002	1.780000000	9.286113E+000	-1.330767E+002	1.780000000	-4.549862E+001
30	1.790000000	-3.993003E-001	1.790000000	8.700365E+000	-1.279193E+002	1.790000000	8.700366E+000	-1.279193E+002	1.790000000	-4.572921E+001
31	1.800000000	-3.952741E-001	1.800000000	8.088338E+000	-1.233712E+002	1.800000000	8.088340E+000	-1.233712E+002	1.800000000	-4.532318E+001
32	1.810000000	-4.113985E-001	1.810000000	7.931200E+000	-1.191420E+002	1.810000000	7.931200E+000	-1.191420E+002	1.810000000	-4.505253E+001
33	1.820000000	-4.301735E-001	1.820000000	7.786839E+000	-1.147828E+002	1.820000000	7.786841E+000	-1.147828E+002	1.820000000	-4.499857E+001
34	1.830000000	-4.231173E-001	1.830000000	7.204655E+000	-1.106786E+002	1.830000000	7.204657E+000	-1.106786E+002	1.830000000	-4.467304E+001
35	1.840000000	-4.288355E-001	1.840000000	6.902440E+000	-1.069781E+002	1.840000000	6.902438E+000	-1.069781E+002	1.840000000	-4.484295E+001
36	1.850000000	-4.492694E-001	1.850000000	6.837910E+000	-1.033683E+002	1.850000000	6.837910E+000	-1.033683E+002	1.850000000	-4.496096E+001
37	1.860000000	-4.413119E-001	1.860000000	6.338313E+000	-9.972768E+001	1.860000000	6.338313E+000	-9.972768E+001	1.860000000	-4.486008E+001
38	1.870000000	-4.323440E-001	1.870000000	5.899527E+000	-9.657776E+001	1.870000000	5.899526E+000	-9.657775E+001	1.870000000	-4.442753E+001
39	1.880000000	-4.511568E-001	1.880000000	5.868421E+000	-9.366904E+001	1.880000000	5.868421E+000	-9.366904E+001	1.880000000	-4.412210E+001
